year,acresBurned,counties
2019,150,Contra Costa
2019,150,San Diego
2019,148,Placer
2019,145,San Bernardino
2019,144,Santa Clara
2019,140,Solano
2019,139,Alameda
2019,131,Lassen
2019,131,Ventura
2019,130,Lassen
2019,130,Mendocino
2019,130,Riverside
2019,128,Santa Clara
2019,128,Modoc
2019,121,Fresno
2019,120,San Diego
2019,120,San Luis Obispo
2019,115,Kern
2019,105,Los Angeles
2019,103,Modoc
2019,100,Santa Barbara
2019,100,San Diego
2019,98,Riverside
2019,97,San Diego
2019,96,Riverside
2019,95,San Luis Obispo
2019,94,Riverside
2019,91,Ventura
2019,91,Siskiyou
2019,90,San Joaquin
2019,90,Shasta
2019,85,El Dorado
2019,84,Sacramento
2019,83,Tuolumne
2019,83,Siskiyou
2019,81,Solano
2019,81,San Bernardino
2019,81,Riverside
2019,80,Butte
2019,80,Riverside
2019,80,San Diego
2019,80,Santa Clara
2019,80,Riverside
2019,80,Yuba
2019,80,Yuba
2019,75,Lake
2019,74,Santa Clara
2019,70,Yuba
2019,68,Tehama
2019,67,Marin
2019,67,Calaveras
2019,66,Monterey
2019,65,Placer
2019,64,Napa
2019,63,Glenn
2019,63,Tehama
2019,62,San Mateo
2019,60,Santa Clara
2019,58,Butte
2019,58,Contra Costa
2019,55,Lassen
2019,55,Riverside
2019,53,Lake
2019,52,San Luis Obispo
2019,52,San Diego
2019,50,San Diego
2019,50,Contra Costa
2019,50,Sacramento
2019,50,Napa
2019,50,Butte
2019,47,Santa Clara
2019,47,Tulare
2019,46,Shasta
2019,46,Tehama
2019,45,Riverside
2019,44,San Joaquin
2019,43,Monterey
2019,42,Los Angeles
2019,42,Shasta
2019,38,Yuba
2019,35,Santa Clara
2019,35,El Dorado
2019,35,Siskiyou
2019,35,Santa Clara
2019,34,Riverside
2019,34,Riverside
2019,33,Yolo
2019,33,Tulare
2019,30,San Luis Obispo
2019,30,Solano
2019,30,Shasta
2019,30,Shasta
2019,30,Alameda
2019,30,Riverside
2019,30,Humboldt
2019,29,Santa Clara
2019,29,Kern
2019,28,Lake
2019,28,San Diego
2019,27,Placer
2019,26,Riverside
2019,25,Lake
2019,25,Fresno
2019,25,Mexico
2019,25,San Diego
2019,25,Alameda
2019,25,Tulare
2019,24,Contra Costa
2019,24,Solano
2019,23,Contra Costa
2019,22,San Diego
2019,21,Tuolumne
2019,20,Colusa
2019,20,Riverside
2019,20,Lake
2019,20,Riverside
2019,20,Riverside
2019,19,Riverside
2019,19,Riverside
2019,19,Alameda
2019,18,Stanislaus
2019,17,San Benito
2019,17,Santa Clara
2019,17,Butte
2019,17,Siskiyou
2019,16,Shasta
2019,16,El Dorado
2019,15,Siskiyou
2019,15,San Bernardino
2019,15,San Diego
2019,13,El Dorado
2019,12,Alameda
2019,12,Butte
2019,11,San Bernardino
2019,11,Tehama
2019,11,Stanislaus
2019,11,Alameda
2019,10,San Diego
2019,10,Tehama
2019,10,Amador
2019,10,Riverside
2019,10,Butte
2019,10,Siskiyou
2019,10,Butte
2019,9,Riverside
2019,2,Nevada
2019,,Yolo
2019,,San Diego
2019,,Riverside
